"","topic"
"div001.010626","Rural Communities and Transport"
"div002.010627","Home Affairs and Constitution"
"div003.010627","Home Affairs and Constitution"
"div004.010627","Home Affairs and Constitution"
"div005.010628","Business of the House"
"div006.010628","Programming of Bills"
"div007.010628","Deferred Divisions "
"div008.010704","European Communities (Amendment) Bill"
"div009.010704","European Communities (Amendment) Bill"
"div010.010704","European Communities (Amendment) Bill (Programme)"
"div011.010705","Members' Allowances, Insurance &c."
"div012.010705","Members' Allowances, Insurance &c."
"div013.010705","Members' Allowances, Insurance &c."
"div014.010705","Members' Allowances, Insurance &c."
"div015.010705","Members' Allowances, Insurance &c."
"div016.010709","Export Control Bill"
"div017.010710","Electoral Fraud (Northern Ireland) Bill"
"div018.010711","Deferred Divisions"
"div019.010711","Deferred Divisions"
"div020.010711","Deferred Divisions"
"div021.010711","European Communities (Amendment) Bill (Programme) (No. 2)"
"div022.010711","European Communities (Amendment) Bill"
"div023.010712","Post-16 Education"
"div024.010712","The Countryside"
"div025.010716","Business of the House"
"div026.010716","Accommodation and Works"
"div027.010716","Accommodation and Works"
"div028.010716","Accommodation and Works"
"div029.010717","European Communities (Amendment) Bill"
"div030.010718","Deferred Divisions"
"div031.010718","Deferred Divisions"
"div032.010718","European Communities (Amendment) Bill"
"div033.010718","European Communities (Amendment) Bill"
"div034.010718","European Communities (Amendment) Bill"
"div035.010718","European Communities (Amendment) Bill"
"div036.010719","European Communities (Finance) Bill (Programme) (No. 2)"
"div037.010719","Select Committees"
"div038.011017","European Communities (Amendment) Bill"
"div039.011023","Ministerial Conduct (DTLR)"
"div040.011023","Ministerial Conduct (DTLR)"
"div041.011024","Relationships (Civil Registration)"
"div042.011024","Sex Discrimination (Election Candidates) Bill"
"div043.011025","Student Finance"
"div044.011025","Social Security"
"div045.011029","Adoption and Children Bill"
"div046.011030","Proceeds of Crime Bill"
"div047.011031","Election Fraud (Northern Ireland) Bill"
"div048.011101","Coalition Against International Terrorism"
"div049.011106","Education and Lifelong Learning"
"div050.011106","Education and Lifelong Learning"
"div051.011108","Export Control Bill"
"div052.011108","Export Control Bill"
"div053.011112","Animal Health Bill"
"div054.011112","Animal Health Bill"
"div055.011112","Animal Health Bill"
"div056.011112","Animal Health Bill"
"div057.011113","Railtrack"
"div058.011113","Railtrack"
"div059.011113","Stakeholder Pensions"
"div060.011113","Stakeholder Pensions"
"div061.011114","Deferred Divisions"
"div062.011114","Football (Disorder) (Amendment) Bill"
"div063.011114","Football (Disorder) (Amendment) Bill"
"div064.011115","City of London (Ward Elections) Bill"
"div065.011119","Anti-terrorism, Crime and Security Bill"
"div066.011119","Anti-terrorism, Crime and Security Bill"
"div067.011120","National Health Service Reform and Health Care Professions Bill"
"div068.011120","National Health Service Reform and Health Care Professions Bill"
"div069.011120","National Health Service Reform and Health Care Professions Bill"
"div070.011121","Deferred Divisions"
"div071.011121","Anti-terrorism, Crime and Security Bill (Programme) (No. 2)"
"div072.011121","Anti-terrorism, Crime and Security Bill"
"div073.011121","Anti-terrorism, Crime and Security Bill"
"div074.011121","Anti-terrorism, Crime and Security Bill"
"div075.011121","Anti-terrorism, Crime and Security Bill"
"div076.011121","Anti-terrorism, Crime and Security Bill"
"div077.011121","Anti-terrorism, Crime and Security Bill"
"div078.011121","Anti-terrorism, Crime and Security Bill"
"div079.011121","Anti-terrorism, Crime and Security Bill"
"div080.011126","Anti-terrorism, Crime and Security Bill"
"div081.011126","Anti-terrorism, Crime and Security Bill"
"div082.011126","Anti-terrorism, Crime and Security Bill"
"div083.011126","Anti-terrorism, Crime and Security Bill"
"div084.011126","Anti-terrorism, Crime and Security Bill"
"div085.011126","Anti-terrorism, Crime and Security Bill"
"div086.011126","Anti-terrorism, Crime and Security Bill"
"div087.011127","Employment Bill"
"div088.011127","Employment Bill"
"div089.011127","Employment Bill"
"div090.011128","Civil Defence (Grant) Bill"
"div091.011128","Civil Defence (Grant) Bill"
"div092.011128","Civil Defence (Grant) Bill"
"div093.011129","Human Reproductive Cloning Bill [Lords] (Allocation of Time)"
"div094.011129","Human Reproductive Cloning Bill[Lords]"
"div095.011203","Dissemination of Information"
"div096.011203","Dissemination of Information"
"div097.011203","Public Services"
"div098.011203","Public Services"
"div099.011204","Education Bill"
"div100.011204","Education Bill"
"div101.011204","Education Bill"
"div102.011204","Education Bill"
"div103.011205","Business of the House"
"div104.011210","Tax Credits Bill"
"div105.011212","Deferred Divisions"
"div106.011212","Anti-terrorism, Crime and Security Bill (Programme No. 3)"
"div107.011212","Anti-terrorism, Crime and Security Bill"
"div108.011212","Anti-terrorism, Crime and Security Bill"
"div109.011212","Anti-terrorism, Crime and Security Bill"
"div110.011212","Anti-terrorism, Crime and Security Bill"
"div111.011213","Animal Health Bill"
"div112.011213","Animal Health Bill"
"div113.011213","Animal Health Bill"
"div114.011213","Anti-terrorism, Crime and Security Bill"
"div115.011217","Northern Ireland Arms Decommissioning (Amendment) Bill"
"div116.011217","Northern Ireland Arms Decommissioning (Amendment) Bill"
"div117.011218","Facilities of the House"
"div118.011218","Facilities of the House"
"div119.011218","Facilities of the House"
"div120.011218","Facilities of the House"
"div121.011218","Facilities of the House"
"div122.011219","Treason Felony, Act of Settlement and Parliamentary Oath"
"div123.020108","Commonhold and Leasehold Reform Bill [Lords]"
"div124.020109","Northern Ireland Arms Decommissioning (Amendment) Bill"
"div125.020109","Northern Ireland Arms Decommissioning (Amendment) Bill"
"div126.020109","Northern Ireland Arms Decommissioning (Amendment) Bill"
"div127.020111","Pension Annuities (Amendment) Bill"
"div128.020111","Pension Annuities (Amendment) Bill"
"div129.020114","Office of Communications Bill [Lords] (Programme)"
"div130.020115","National Health Service Reform and Health Care Professions Bill"
"div131.020115","National Health Service Reform and Health Care Professions Bill"
"div132.020115","National Health Service Reform and Health Care Professions Bill"
"div133.020115","National Health Service Reform and Health Care Professions Bill"
"div134.020116","Railways"
"div135.020116","Care System"
"div136.020116","Care System"
"div137.020121","Justice (Northern Ireland) Bill"
"div138.020121","Justice (Northern Ireland) Bill"
"div139.020122","Public Services"
"div140.020122","Public Services"
"div141.020123","Identity Card"
"div142.020128","Civil Defence (Grant) Bill"
"div143.020128","Civil Defence (Grant) Bill"
"div144.020128","Civil Defence (Grant) Bill"
"div145.020128","City of London (Ward Elections) Bill"
"div146.020128","City of London (Ward Elections) Bill"
"div147.020129","Post Office"
"div148.020129","Post Office"
"div149.020130","Local Government Finance"
"div150.020131","Travel Concessions (Eligibility) Bill [Lords]"
"div151.020204","Asylum Seekers"
"div152.020204","Pensions and Benefits"
"div153.020204","Pensions and Benefits"
"div154.020205","Education Bill"
"div155.020205","Education Bill"
"div156.020205","Education Bill"
"div157.020206","Education Bill"
"div158.020206","Education Bill"
"div159.020206","Education Bill"
"div160.020206","Education Bill"
"div161.020206","Education Bill"
"div162.020206","Education Bill"
"div163.020207","Tax Credits Bill"
"div164.020207","Tax Credits Bill"
"div165.020207","Tax Credits Bill"
"div166.020212","Employment Bill"
"div167.020212","Employment Bill"
"div168.020225","Homelessness Bill"
"div169.020226","Proceeds of Crime Bill"
"div170.020226","Proceeds of Crime Bill"
"div171.020226","Proceeds of Crime Bill"
"div172.020227","Proceeds of Crime Bill"
"div173.020227","Proceeds of Crime Bill"
"div174.020227","Proceeds of Crime Bill"
"div175.020304","Justice (Northern Ireland) Bill"
"div176.020304","Justice (Northern Ireland) Bill"
"div177.020304","Justice (Northern Ireland) Bill"
"div178.020304","Justice (Northern Ireland) Bill"
"div179.020304","Justice (Northern Ireland) Bill"
"div180.020305","Steel Industry"
"div181.020305","Steel Industry"
"div182.020305","Nuclear Power"
"div183.020305","Nuclear Power"
"div184.020306","Office of Communications Bill [Lords]"
"div185.020306","Office of Communications Bill [Lords]"
"div186.020306","Office of Communications Bill [Lords]"
"div187.020311","Commonhold and Leasehold Reform Bill [Lords]"
"div188.020311","Commonhold and Leasehold Reform Bill [Lords]"
"div189.020311","Commonhold and Leasehold Reform Bill [Lords]"
"div190.020311","Commonhold and Leasehold Reform Bill [Lords]"
"div191.020312","London and the South-East"
"div192.020312","London and the South-East"
"div193.020313","Commonhold and Leasehold Reform Bill [Lords]"
"div194.020313","Commonhold and Leasehold Reform Bill [Lords]"
"div195.020313","Commonhold and Leasehold Reform Bill [Lords]"
"div196.020313","Commonhold and Leasehold Reform Bill [Lords]"
"div197.020318","Hunting With Dogs"
"div198.020318","Hunting With Dogs"
"div199.020318","Hunting With Dogs"
"div200.020319","Education and Skills Training"
"div201.020319","Education and Skills Training"
"div202.020325","State Pension Credit Bill [Lords]"
"div203.020325","State Pension Credit Bill [Lords]"
"div204.020410","Enterprise Bill"
"div205.020412","Pensions Annuities (Amendment) Bill"
"div206.020412","Pensions Annuities (Amendment) Bill"
"div207.020415","Electoral Fraud (Northern Ireland) Bill (Programme)"
"div208.020415","City of London (Ward Elections) Bill"
"div209.020415","City of London (Ward Elections) Bill"
"div210.020415","City of London (Ward Elections) Bill"
"div211.020416","Selective Schools (Transitional Arrangements)"
"div212.020419","Industrial and Provident Societies Bill"
"div213.020423","Budget Resolutions and Economic Situation"
"div214.020423","Budget Resolutions and Economic Situation"
"div215.020423","Budget Resolutions and Economic Situation"
"div216.020423","Budget Resolutions and Economic Situation"
"div217.020423","Budget Resolutions and Economic Situation"
"div218.020423","Budget Resolutions and Economic Situation"
"div219.020424","Nationality, Immigration and Asylum Bill"
"div220.020429","Tobacco Advertising and Promotion Bill [Lords]"
"div221.020429","Tobacco Advertising and Promotion Bill [Lords]"
"div222.020430","Finance Bill"
"div223.020430","Finance Bill"
"div224.020501","Ways and Means"
"div225.020507","Police Reform Bill [Lords]"
"div226.020508","Finance Bill"
"div227.020508","Finance Bill"
"div228.020508","Finance Bill"
"div229.020509","Finance Bill"
"div230.020509","Finance Bill"
